iter	Passed	Remaining
148	377	2154
149	379	2149
150	381	2143
151	383	2138
152	385	2134
153	387	2128
154	390	2128
155	392	2125
156	395	2122
157	397	2120
158	401	2124
159	403	2120
160	406	2117
161	409	2116
162	411	2112
163	414	2111
164	415	2105
165	417	2098
166	419	2092
167	421	2089
168	424	2088
169	426	2084
170	430	2087
171	433	2086
172	435	2082
173	437	2076
174	439	2071
175	441	2065
176	444	2064
177	446	2062
178	448	2057
179	453	2066
180	455	2062
181	459	2065
182	462	2064
183	464	2059
184	466	2055
185	469	2054
186	471	2050
187	473	2046
188	475	2040
189	477	2037
190	479	2031
191	482	2029
192	484	2027
193	487	2026
194	489	2021
195	492	2019
196	495	2020
197	497	2014
198	499	2009
199	501	2005
200	503	2000
201	506	1999
202	510	2003
203	512	1998
204	513	1993
205	515	1987
206	520	1995
207	523	1993
208	525	1989
209	528	1987
210	530	1982
211	531	1977
212	534	1973
213	537	1972
214	539	1969
215	541	1966
216	543	1961
217	548	1968
218	550	1964
219	552	1959
220	554	1954
221	556	1949
222	557	1944
223	559	1939
224	561	1934
225	563	1929
226	565	1924
227	567	1920
228	570	1919
229	571	1914
230	574	1913
231	576	1909
232	578	1904
233	580	1899
234	582	1895
235	584	1892
236	588	1893
237	592	1897
238	596	1898
239	598	1893
240	599	1889
241	601	1884
242	604	1882
243	606	1878
244	609	1878
245	611	1874
246	614	1872
247	616	1870
248	619	1868
249	622	1868
250	626	1868
251	628	1865
252	634	1872
253	636	1867
254	637	1863
255	640	1860
256	642	1856
257	643	1851
258	646	1848
259	648	1844
260	649	1840
261	652	1837
262	655	1836
263	657	1831
264	660	1831
265	662	1828
266	667	1832
267	670	1831
268	672	1827
269	674	1824
270	676	1819
271	678	1815
272	681	1814
273	686	1818
274	688	1815
275	691	1812
276	693	1809
277	696	1808
278	700	1809
279	703	1809
280	705	1805
281	709	1806
282	712	1803
283	713	1799
284	715	1795
285	717	1791
286	720	1788
287	722	1784
288	723	1780
289	726	1778
290	729	1776
291	731	1773
292	734	1772
293	736	1769
294	739	1767
295	741	1763
296	743	1759
297	745	1756
298	748	1755
299	751	1752
300	754	1753
301	757	1750
302	759	1746
303	761	1742
304	763	1739
305	765	1735
306	767	1733
307	769	1729
308	772	1728
309	774	1724
310	777	1723
311	781	1722
312	783	1719
313	786	1717
314	788	1713
315	791	1712
316	793	1708
317	797	1709
318	800	1709
319	802	1706
320	805	1702
321	807	1699
322	809	1696
323	811	1693
324	813	1690
325	815	1686
326	819	1685
327	821	1683
328	825	1682
329	827	1680
330	830	1678
331	832	1675
332	835	1672
333	837	1670
334	841	1669
335	846	1673
336	850	1674
337	852	1670
338	854	1666
339	857	1665
340	859	1661
341	861	1657
342	864	1655
343	866	1652
344	868	1649
345	870	1645
346	873	1643
347	876	1642
348	879	1639
349	882	1639
350	885	1637
351	887	1634
352	890	1632
353	894	1632
354	898	1632
355	901	1630
356	904	1629
357	906	1626
358	908	1622
359	910	1619
360	912	1615
361	914	1611
362	917	1609
363	919	1607
364	922	1604
365	924	1600
366	925	1597
367	928	1593
368	930	1590
369	932	1586
370	933	1583
371	935	1579
372	938	1578
373	940	1574
374	942	1571
375	946	1570
376	951	1571
377	954	1570
378	957	1568
379	959	1564
380	961	1561
381	963	1559
382	965	1555
383	967	1552
384	969	1549
385	971	1545
386	974	1544
387	976	1540
388	978	1536
389	980	1534
390	983	1531
391	985	1528
392	987	1525
393	993	1528
394	997	1527
395	1001	1528
396	1003	1524
397	1006	1522
398	1008	1518
399	1010	1515
400	1014	1515
401	1017	1513
402	1019	1510
403	1021	1506
404	1025	1505
405	1026	1502
406	1028	1498
407	1031	1496
408	1034	1495
409	1038	1494
410	1042	1493
411	1045	1491
412	1047	1488
413	1049	1485
414	1053	1485
415	1055	1482
416	1057	1478
417	1060	1476
418	1062	1473
419	1066	1472
420	1068	1469
421	1069	1465
422	1071	1461
423	1075	1460
424	1077	1457
425	1080	1455
426	1082	1452
427	1085	1450
428	1088	1448
429	1089	1444
430	1092	1441
431	1094	1439
432	1096	1435
433	1098	1432
434	1100	1429
435	1102	1426
436	1105	1423
437	1107	1421
438	1109	1418
439	1111	1415
440	1113	1411
441	1115	1407
442	1116	1404
443	1119	1401
444	1122	1399
445	1123	1396
446	1126	1393
447	1127	1389
448	1129	1386
449	1131	1383
450	1135	1381
451	1138	1380
452	1140	1377
453	1142	1374
454	1145	1371
455	1146	1368
456	1148	1364
457	1150	1361
458	1153	1360
459	1158	1360
460	1161	1357
461	1163	1354
462	1165	1351
463	1166	1347
464	1168	1344
465	1171	1342
466	1173	1338
467	1175	1335
468	1176	1332
469	1178	1329
470	1180	1325
471	1182	1323
472	1186	1321
473	1188	1318
474	1190	1315
475	1193	1313
476	1195	1311
477	1197	1308
478	1200	1305
479	1202	1303
480	1206	1301
481	1208	1298
482	1210	1295
483	1212	1292
484	1214	1290
485	1216	1287
486	1220	1285
487	1222	1282
488	1224	1279
489	1226	1276
490	1229	1274
491	1231	1271
492	1234	1269
493	1237	1267
494	1239	1264
495	1240	1260
496	1245	1260
497	1248	1258
498	1251	1256
499	1254	1254
500	1262	1257
501	1268	1258
502	1273	1258
503	1277	1257
504	1309	1283
505	1312	1281
506	1319	1282
507	1325	1283
508	1327	1280
509	1335	1283
510	1340	1282
511	1346	1283
512	1349	1280
513	1354	1281
514	1356	1277
515	1358	1274
516	1361	1271
517	1363	1268
518	1366	1266
519	1369	1264
520	1374	1263
521	1383	1266
522	1388	1266
523	1392	1265
524	1402	1269
525	1408	1268
526	1412	1268
527	1420	1269
528	1426	1270
529	1433	1271
530	1437	1269
531	1442	1268
532	1447	1268
533	1451	1266
534	1456	1265
535	1459	1263
536	1465	1263
537	1474	1266
538	1481	1266
539	1487	1267
540	1492	1266
541	1496	1264
542	1500	1262
543	1504	1261
544	1508	1259
545	1511	1256
546	1515	1254
547	1518	1252
548	1522	1250
549	1525	1248
550	1529	1246
551	1535	1246
552	1539	1244
553	1543	1242
554	1547	1240
555	1553	1240
556	1557	1238
557	1562	1237
558	1566	1235
559	1577	1239
560	1583	1239
561	1587	1237
562	1592	1235
563	1596	1234
564	1600	1232
565	1605	1230
566	1616	1234
567	1620	1232
568	1623	1230
569	1632	1231
570	1636	1229
571	1642	1228
572	1649	1229
573	1653	1226
574	1659	1226
575	1665	1225
576	1669	1224
577	1674	1222
578	1679	1221
579	1684	1219
580	1687	1217
581	1695	1217
582	1698	1215
583	1702	1212
584	1708	1211
585	1712	1209
586	1716	1207
587	1726	1210
588	1730	1207
589	1734	1205
590	1739	1203
591	1744	1202
592	1748	1200
593	1751	1197
594	1755	1195
595	1760	1193
596	1763	1190
597	1767	1188
598	1772	1186
599	1776	1184
600	1781	1182
601	1786	1180
602	1790	1178
603	1794	1176
604	1801	1176
605	1806	1174
606	1812	1173
607	1819	1172
608	1824	1171
609	1828	1168
610	1831	1166
611	1835	1163
612	1843	1164
613	1850	1163
614	1854	1160
615	1858	1158
616	1865	1158
617	1869	1155
618	1873	1153
619	1877	1150
620	1881	1148
621	1886	1146
622	1891	1144
623	1896	1142
624	1899	1139
625	1904	1137
626	1907	1134
627	1911	1132
628	1917	1131
629	1922	1129
630	1928	1127
631	1933	1125
632	1936	1122
633	1943	1122
634	1952	1122
635	1956	1120
636	1960	1117
637	1965	1114
638	1970	1113
639	1975	1111
640	1980	1109
641	1987	1108
642	1994	1107
643	1998	1104
644	2005	1103
645	2010	1101
646	2014	1099
647	2018	1096
648	2023	1094
649	2030	1093
650	2034	1090
651	2041	1089
652	2044	1086
653	2049	1084
654	2054	1081
655	2057	1079
656	2061	1076
657	2066	1074
658	2071	1071
659	2076	1069
660	2082	1067
661	2086	1065
662	2090	1062
663	2094	1059
664	2098	1057
665	2106	1056
666	2111	1053
667	2115	1051
668	2119	1048
669	2123	1046
670	2127	1043
671	2132	1041
672	2136	1038
673	2140	1035
674	2148	1034
675	2152	1031
676	2156	1028
677	2159	1025
678	2163	1022
679	2168	1020
680	2172	1017
681	2176	1014
682	2182	1012
683	2187	1010
684	2193	1008
685	2198	1006
686	2203	1003
687	2206	1000
688	2210	997
689	2214	994
690	2219	992
691	2223	989
692	2228	987
693	2237	986
694	2241	983
695	2244	980
696	2251	978
697	2255	975
698	2261	974
699	2266	971
700	2271	968
701	2275	966
702	2279	963
703	2284	960
704	2295	960
705	2302	959
706	2307	956
707	2315	954
708	2319	951
709	2323	949
710	2329	946
711	2333	944
712	2339	941
713	2344	939
714	2350	936
715	2354	934
716	2358	930
717	2366	929
718	2371	926
719	2375	923
720	2381	921
721	2385	918
722	2391	916
723	2395	913
724	2401	910
725	2405	907
726	2408	904
727	2416	902
728	2419	899
729	2424	896
730	2428	893
731	2433	890
732	2437	887
733	2440	884
734	2451	883
735	2455	880
736	2462	878
737	2466	875
738	2470	872
739	2475	869
740	2485	868
741	2489	865
742	2493	862
743	2497	859
744	2501	856
745	2505	853
746	2510	850
747	2513	846
748	2518	843
749	2522	840
750	2531	839
751	2536	836
752	2539	833
753	2544	830
754	2554	828
755	2561	826
756	2565	823
757	2568	820
758	2579	818
759	2584	816
760	2588	812
761	2591	809
762	2596	806
763	2602	803
764	2606	800
765	2610	797
766	2615	794
767	2623	792
768	2628	789
769	2632	786
770	2636	783
771	2641	780
772	2645	776
773	2649	773
774	2655	771
775	2661	768
776	2669	766
777	2673	763
778	2679	760
779	2685	757
780	2689	754
781	2696	751
782	2700	748
783	2705	745
784	2711	742
785	2714	739
786	2718	735
787	2730	734
788	2736	731
789	2740	728
790	2745	725
791	2753	723
792	2758	720
793	2762	716
794	2766	713
795	2770	710
796	2774	706
797	2778	703
798	2782	700
799	2787	696
800	2792	693
801	2796	690
802	2802	687
803	2805	683
804	2810	680
805	2815	677
806	2819	674
807	2823	670
808	2827	667
809	2833	664
810	2838	661
811	2842	658
812	2846	654
813	2850	651
814	2854	647
815	2860	645
816	2868	642
817	2872	639
818	2876	635
819	2883	632
820	2887	629
821	2892	626
822	2896	622
823	2905	620
824	2910	617
825	2913	613
826	2917	610
827	2921	606
828	2931	604
829	2935	601
830	2940	598
831	2945	594
832	2951	591
833	2955	588
834	2959	584
835	2964	581
836	2971	578
837	2975	575
838	2981	572
839	2986	568
840	2990	565
841	2994	561
842	2999	558
843	3003	555
844	3007	551
845	3012	548
846	3015	544
847	3020	541
848	3024	537
849	3028	534
850	3037	531
851	3041	528
852	3047	525
853	3052	521
854	3059	518
855	3063	515
856	3069	512
857	3074	508
858	3079	505
859	3084	502
860	3089	498
861	3093	495
862	3099	492
863	3107	489
864	3113	485
865	3116	482
866	3120	478
867	3124	475
868	3128	471
869	3131	467
870	3136	464
871	3141	461
872	3146	457
873	3153	454
874	3157	451
875	3161	447
876	3165	443
877	3170	440
878	3176	437
879	3183	434
880	3189	430
881	3193	427
882	3199	423
883	3205	420
884	3211	417
885	3215	413
886	3220	410
887	3226	406
888	3232	403
889	3238	400
890	3242	396
891	3248	393
892	3253	389
893	3257	386
894	3261	382
895	3264	378
896	3270	375
897	3279	372
898	3284	368
899	3288	365
900	3292	361
901	3296	358
902	3303	354
903	3306	351
904	3310	347
905	3317	344
906	3323	340
907	3329	337
908	3333	333
909	3338	330
910	3342	326
911	3346	322
912	3350	319
913	3354	315
914	3363	312
915	3372	309
916	3379	305
917	3383	302
918	3386	298
919	3391	294
920	3395	291
921	3402	287
922	3407	284
923	3411	280
924	3415	276
925	3418	273
926	3422	269
927	3426	265
928	3431	262
929	3438	258
930	3444	255
931	3449	251
932	3456	248
933	3460	244
934	3468	241
935	3476	237
936	3480	234
937	3485	230
938	3494	226
939	3503	223
940	3507	219
941	3511	216
942	3516	212
943	3521	208
944	3525	205
945	3528	201
946	3532	197
947	3536	193
948	3539	190
949	3543	186
950	3550	182
951	3555	179
952	3563	175
953	3567	172
954	3571	168
955	3575	164
956	3580	160
957	3585	157
958	3589	153
959	3593	149
960	3599	146
961	3602	142
962	3609	138
963	3613	134
964	3620	131
965	3624	127
966	3629	123
967	3635	120
968	3640	116
969	3647	112
970	3651	109
971	3658	105
972	3662	101
973	3669	97
974	3673	94
975	3679	90
976	3683	86
977	3689	82
978	3695	79
979	3700	75
980	3704	71
981	3709	67
982	3714	64
983	3718	60
984	3721	56
985	3728	52
986	3733	49
987	3738	45
988	3743	41
989	3750	37
990	3754	34
991	3758	30
992	3762	26
993	3769	22
994	3775	18
995	3778	15
996	3788	11
997	3793	7
998	3800	3
999	3807	0
