iter	RMSE
0	29.35721974
1	29.35721974
2	29.35650171
3	29.35650171
4	29.35650171
5	29.35650171
6	29.35646639
7	29.35579526
8	29.35575492
9	29.35542754
10	29.35542754
11	29.35542754
12	29.35508102
13	29.35506065
14	29.35469629
15	29.35452426
16	29.3545039
17	29.3545039
18	29.3538326
19	29.353171
20	29.353171
21	29.35314828
22	29.35314828
23	29.35314828
24	29.35314828
25	29.35311556
26	29.35308304
27	29.35303253
28	29.35303253
29	29.35303253
30	29.35297381
31	29.35294229
32	29.35294229
33	29.35259322
34	29.35259322
35	29.35255081
36	29.35218159
37	29.35216019
38	29.35212353
39	29.35209057
40	29.35209057
41	29.35140077
42	29.35140077
43	29.35138983
44	29.35137586
45	29.35137586
46	29.35137586
47	29.3513175
48	29.35128485
49	29.35128485
50	29.35128485
51	29.35128485
52	29.35121755
53	29.3511141
54	29.350779
55	29.35073196
56	29.35062681
57	29.35062681
58	29.35062681
59	29.35059251
60	29.35053647
61	29.3505121
62	29.3504918
63	29.35041047
64	29.35035318
65	29.35035318
66	29.35035318
67	29.35034226
68	29.35032197
69	29.35032197
70	29.35032197
71	29.35022773
72	29.35015624
73	29.35015624
74	29.35015624
75	29.35015624
76	29.35012401
77	29.35012401
78	29.34944206
79	29.3494319
80	29.3494319
81	29.34910504
82	29.34760862
83	29.34682834
84	29.34682834
85	29.34679409
86	29.34679409
87	29.34675957
88	29.34673614
89	29.34671917
90	29.34670223
91	29.34659207
92	29.34655285
93	29.34651531
94	29.34584835
95	29.34582403
96	29.34578931
97	29.34578931
98	29.34543224
99	29.34543224
100	29.34543224
101	29.34543224
102	29.34540236
103	29.34532121
104	29.3449666
105	29.3449666
106	29.3449666
107	29.3446197
108	29.34457168
109	29.34367953
110	29.34367953
111	29.3433405
112	29.3433405
113	29.34261668
114	29.34261668
115	29.34261668
116	29.34261668
117	29.34260037
118	29.34258462
119	29.34182469
120	29.34179223
121	29.34175309
122	29.34173769
123	29.34173769
124	29.34173769
125	29.34173769
126	29.34165772
127	29.34165772
128	29.34165772
129	29.34165772
130	29.34165772
131	29.34160052
132	29.34157799
133	29.34152579
134	29.3407464
135	29.34058923
136	29.34026741
137	29.33994125
138	29.33994125
139	29.3398512
140	29.3395251
141	29.3395251
142	29.33950259
143	29.33947017
144	29.33947017
145	29.33876565
146	29.33876565
147	29.33874937
148	29.33874937
149	29.33873467
150	29.33873467
151	29.33871777
152	29.33868532
153	29.33868532
154	29.33834281
155	29.33832033
156	29.33823945
157	29.33791349
158	29.33753195
159	29.33751726
160	29.33751162
161	29.33747265
162	29.33745639
163	29.33743544
164	29.33743544
165	29.33743544
166	29.33743544
167	29.33678288
168	29.336119
169	29.33610516
170	29.3359654
171	29.3359313
172	29.33591562
173	29.33591562
174	29.33591562
175	29.33591562
176	29.33589279
177	29.33587035
178	29.33587035
179	29.33511505
180	29.33511505
181	29.33476837
182	29.33473047
183	29.33473047
184	29.33471364
185	29.3340024
186	29.33398228
187	29.33396763
188	29.33396763
189	29.3339352
190	29.3339352
191	29.3339004
192	29.33385576
193	29.33352959
194	29.33352959
195	29.33349104
196	29.33280494
197	29.33280494
198	29.33280494
199	29.33272425
200	29.33272425
201	29.33238985
202	29.33167151
203	29.33167151
204	29.33167151
205	29.33167151
206	29.33154772
207	29.33153392
208	29.33153392
209	29.33148381
210	29.33148381
211	29.33148381
212	29.33146144
213	29.33141063
214	29.33139684
215	29.33136461
216	29.33136461
217	29.3309674
218	29.33094505
219	29.33094505
220	29.33094505
221	29.33094505
222	29.33094505
223	29.33094505
224	29.33094505
225	29.33094505
226	29.33094505
227	29.3309102
228	29.33088535
229	29.33088535
230	29.33076776
231	29.33076776
232	29.33076776
233	29.33076776
234	29.33076776
235	29.33075771
236	29.32968809
237	29.32931244
238	29.32923002
239	29.32923002
240	29.32923002
241	29.32923002
242	29.32920768
243	29.32920768
244	29.32915828
245	29.32915828
246	29.32915828
247	29.32915828
248	29.32912609
249	29.32902989
250	29.32867396
251	29.32864198
252	29.32784184
253	29.32784184
254	29.32784184
255	29.32751662
256	29.32751662
257	29.32751662
258	29.32749983
259	29.32749983
260	29.32749983
261	29.32717475
262	29.32706488
263	29.32706488
264	29.32671575
265	29.32671575
266	29.32594459
267	29.32523787
268	29.32523787
269	29.32523787
270	29.32523787
271	29.32523787
272	29.32512907
273	29.32473975
274	29.32471746
275	29.32468765
276	29.32438499
277	29.32433657
278	29.32364559
279	29.32293953
280	29.32293953
281	29.32190784
282	29.32188556
283	29.32188556
284	29.32188556
285	29.32188556
286	29.32122846
287	29.32122846
288	29.32122846
289	29.32120619
290	29.32087707
291	29.32087707
292	29.3208364
293	29.3208364
294	29.3205032
295	29.3205032
296	29.3205032
297	29.32048763
298	29.32037041
299	29.32034816
300	29.31967322
301	29.31965222
302	29.31965222
303	29.31965222
304	29.31965222
305	29.31965222
306	29.31956114
307	29.31956114
308	29.31953952
309	29.31953952
310	29.31884493
311	29.31850558
312	29.31848334
313	29.3184513
314	29.3184513
315	29.31777874
316	29.31777874
317	29.31705429
318	29.31699533
319	29.31699533
320	29.31699533
321	29.31699533
322	29.31697924
323	29.31696553
324	29.31696553
325	29.31696553
326	29.31685691
327	29.3161989
328	29.31616218
329	29.31613017
330	29.31610324
331	29.31610324
332	29.31608786
333	29.31604477
334	29.31602567
335	29.31530449
336	29.31520002
337	29.31520002
338	29.31520002
339	29.31509856
340	29.31509856
341	29.31509856
342	29.31477799
343	29.31477799
344	29.31477799
345	29.31477799
346	29.31474117
347	29.3146387
348	29.31460633
349	29.31450033
350	29.31439897
351	29.31374702
352	29.31369734
353	29.31365147
354	29.31352293
355	29.31343227
356	29.31268799
357	29.31268799
358	29.31268799
359	29.31265479
360	29.31265479
361	29.31265479
362	29.31262467
363	29.31164587
364	29.31132662
365	29.31130671
366	29.31130671
367	29.31129155
368	29.31127251
369	29.31127251
370	29.31127251
371	29.31125806
372	29.31120374
373	29.31120374
374	29.31088458
375	29.3107596
376	29.31064241
377	29.31060033
378	29.3102631
379	29.3102631
380	29.30961159
381	29.30891342
382	29.30891342
383	29.30891342
384	29.30888155
385	29.30888155
386	29.30798423
387	29.30798423
388	29.30798423
389	29.30795237
390	29.30793955
391	29.3079187
392	29.30788377
393	29.30673919
394	29.30602199
395	29.30498492
396	29.30498492
397	29.30487049
398	29.30487049
399	29.30487049
400	29.30442484
401	29.30438329
402	29.30438329
403	29.30438329
404	29.30423892
405	29.30423892
406	29.30423892
407	29.30419538
408	29.30414992
409	29.30307154
410	29.30298803
411	29.30266397
412	29.30262909
413	29.30262909
414	29.30158968
415	29.30155904
416	29.30155904
417	29.30087845
418	29.30084841
419	29.30077238
420	29.30077238
421	29.30077238
422	29.30077238
423	29.3000469
424	29.30001515
425	29.29997857
426	29.29965889
427	29.2989911
428	29.29893838
429	29.29893838
430	29.29890601
431	29.2982326
432	29.2982326
433	29.2982326
434	29.2981531
435	29.29812074
436	29.29742958
437	29.29709876
438	29.29709876
439	29.29708518
440	29.29708518
441	29.29708518
442	29.29708518
443	29.29705855
444	29.29697182
445	29.29697182
446	29.2969596
447	29.2969596
448	29.2969596
449	29.2969376
450	29.29686159
451	29.29650798
452	29.29650798
453	29.29647737
454	29.29646301
455	29.29646301
456	29.29646301
457	29.29646301
458	29.29634409
459	29.29593751
460	29.29592157
461	29.2958422
462	29.2958422
463	29.2958422
464	29.2958422
465	29.29517915
466	29.29517915
467	29.29485985
468	29.29485985
469	29.29485985
470	29.29485985
471	29.29482736
472	29.29469397
473	29.294672
474	29.2945927
475	29.29390277
476	29.29388843
477	29.29387251
478	29.29354913
479	29.2929001
480	29.29252127
481	29.29252127
482	29.29252127
483	29.29252127
484	29.29248816
485	29.29248816
486	29.29180711
487	29.29180711
488	29.29179357
489	29.29179357
490	29.29175711
491	29.29173516
492	29.2910803
493	29.29037924
494	29.29037924
495	29.29037924
496	29.29023506
497	29.29020345
498	29.29020345
499	29.29020345
500	29.28917926
501	29.28884781
502	29.28882852
503	29.28882852
504	29.28882852
505	29.2885089
506	29.28844509
507	29.28740086
508	29.28740086
509	29.28724213
510	29.28718775
511	29.2870693
512	29.28703643
513	29.28627959
514	29.28627959
515	29.28627959
516	29.28627959
517	29.28627959
518	29.28627959
519	29.28627959
520	29.28625771
521	29.28624239
522	29.28620765
523	29.28620765
524	29.2861606
525	29.28612634
526	29.28580371
527	29.28508494
528	29.28503995
529	29.28434238
530	29.28434238
531	29.28431881
532	29.28428542
533	29.28428542
534	29.28427045
535	29.28427045
536	29.2835933
537	29.28351784
538	29.28281391
539	29.28271649
540	29.28270001
541	29.28270001
542	29.28262104
543	29.28262104
544	29.28262104
545	29.28262104
546	29.28262104
547	29.28262104
548	29.28262104
549	29.28262104
550	29.28262104
551	29.28227713
552	29.28227713
553	29.28227713
554	29.28227713
555	29.28153992
556	29.28153992
557	29.28153992
558	29.28153992
559	29.28062172
560	29.28058546
561	29.28058546
562	29.28055318
563	29.28053791
564	29.28053791
565	29.28021985
566	29.27985918
567	29.27985918
568	29.27985918
569	29.27914521
570	29.27914521
571	29.27880885
572	29.27874916
573	29.27874916
574	29.2780897
575	29.27799721
576	29.27798211
577	29.27796033
578	29.27794688
579	29.2779251
580	29.2779251
581	29.27757758
582	29.27757758
583	29.27757758
584	29.27754954
585	29.27751466
586	29.27751466
587	29.27711842
588	29.27711842
589	29.27711842
590	29.27703964
591	29.27638502
592	29.27638502
593	29.27638502
594	29.27638502
595	29.2763506
596	29.2763506
597	29.2763506
598	29.2763171
599	29.2763171
600	29.2763013
601	29.27622256
602	29.27620295
603	29.27620295
604	29.27611276
605	29.2760848
606	29.27605325
607	29.27601551
608	29.27599346
609	29.27599346
610	29.27599346
611	29.27599346
612	29.27588154
613	29.27543806
614	29.27543806
615	29.27541754
616	29.27532246
617	29.27532246
618	29.27530075
619	29.27530075
620	29.27530075
621	29.2752221
622	29.27517282
623	29.2751415
624	29.2751415
625	29.2751198
626	29.2751198
627	29.2751198
628	29.27502244
629	29.27500379
630	29.27491794
631	29.27490454
632	29.27490454
633	29.27449291
634	29.27414596
635	29.27413182
636	29.27413182
637	29.27409825
638	29.27404617
639	29.27400562
640	29.27392706
641	29.27385338
642	29.27380859
643	29.27380859
644	29.27376209
645	29.27374256
646	29.27372091
647	29.27372091
648	29.27364239
649	29.27295664
650	29.27295664
651	29.27291146
652	29.27291146
653	29.27289101
654	29.27287466
655	29.27287466
656	29.27287466
657	29.2728649
658	29.2728579
659	29.2728375
660	29.27272955
661	29.27270792
662	29.27270792
663	29.27270792
664	29.27270792
665	29.2719498
666	29.2719498
667	29.27193121
668	29.27193121
669	29.27192362
670	29.27192362
671	29.27190438
672	29.27190438
673	29.27190438
674	29.27179382
675	29.27179382
676	29.27179382
677	29.27179382
678	29.27179382
679	29.27178408
680	29.27178408
681	29.27178408
682	29.27173323
683	29.2717181
684	29.27164159
685	29.27164159
686	29.27156318
687	29.27156318
688	29.27156318
689	29.27156318
690	29.27153202
691	29.27153202
692	29.27120537
693	29.27072628
694	29.27072628
695	29.27072628
696	29.27003921
697	29.27003921
698	29.26969223
699	29.26937576
700	29.26929744
701	29.26929744
702	29.26929744
703	29.26926508
704	29.2689163
705	29.26787799
706	29.26786303
707	29.26712308
708	29.26712308
709	29.26710798
710	29.26677849
711	29.2667634
712	29.26610314
713	29.26608805
714	29.26599469
715	29.26597961
716	29.26597961
717	29.26587302
718	29.26578911
719	29.26578911
720	29.26575641
721	29.26575641
722	29.26566931
723	29.26563823
724	29.26560837
725	29.26560837
726	29.26560837
727	29.26556273
728	29.26556273
729	29.26554645
730	29.26554645
731	29.2654683
732	29.2654683
733	29.2654683
734	29.2650648
735	29.2650648
736	29.2641697
737	29.2641697
738	29.2641697
739	29.26415568
740	29.26307859
741	29.26305918
742	29.26305918
743	29.26305918
744	29.26305918
745	29.26305918
746	29.26302647
747	29.26302647
748	29.26301892
749	29.26301892
750	29.26225363
751	29.26225363
752	29.26225363
753	29.2622226
754	29.26214106
755	29.26178391
756	29.26178391
757	29.26178391
758	29.26140639
759	29.26139239
760	29.26139239
761	29.26139239
762	29.26137091
763	29.2609635
764	29.2609635
765	29.2609635
766	29.26062427
767	29.26015635
768	29.26015635
769	29.26013489
770	29.26013489
771	29.2601209
772	29.26009945
773	29.26009945
774	29.25936101
775	29.25867516
776	29.25794163
777	29.25794163
778	29.2578861
779	29.25722373
780	29.25721047
781	29.25710845
782	29.25710845
783	29.25708067
784	29.25704291
785	29.25704291
786	29.25704291
787	29.25577917
788	29.2557636
789	29.2557636
790	29.25573456
791	29.2556973
792	29.25503069
793	29.25503069
794	29.25503069
795	29.25500928
796	29.25500928
797	29.25500928
798	29.25499444
799	29.25496224
800	29.25496224
801	29.25496224
802	29.25490595
803	29.25490595
804	29.25489201
805	29.2548758
806	29.2548758
807	29.2548758
808	29.25485267
809	29.2547659
810	29.25470567
811	29.25462782
812	29.25462782
813	29.25462782
814	29.25462782
815	29.25427618
816	29.25357941
817	29.25357941
818	29.25354559
819	29.25322155
820	29.2529052
821	29.25225501
822	29.25225501
823	29.25185142
824	29.25185142
825	29.25185142
826	29.25185142
827	29.25185142
828	29.25176032
829	29.25176032
830	29.25172865
831	29.25165092
832	29.25160673
833	29.25160673
834	29.25160673
835	29.2515626
836	29.25152175
837	29.25152175
838	29.25083547
839	29.25081929
840	29.25080539
841	29.25080539
842	29.25078611
843	29.25047094
844	29.25047094
845	29.2504496
846	29.2504496
847	29.25043032
848	29.25043032
849	29.25043032
850	29.24999041
851	29.24999041
852	29.24990589
853	29.24956609
854	29.24859038
855	29.24859038
856	29.24853586
857	29.24845825
858	29.24844863
859	29.24843245
860	29.24841114
861	29.24840152
862	29.24771518
863	29.24727556
864	29.24722207
865	29.24722207
866	29.24722207
867	29.24722207
868	29.24722207
869	29.24722207
870	29.24720891
871	29.2471993
